name,url
Spring 1997,https://myanimelist.net/anime/season/1997/spring
Summer 1997,https://myanimelist.net/anime/season/1997/summer
Fall 1997,https://myanimelist.net/anime/season/1997/fall
Winter 1996,https://myanimelist.net/anime/season/1996/winter
Spring 1996,https://myanimelist.net/anime/season/1996/spring
Summer 1996,https://myanimelist.net/anime/season/1996/summer
Fall 1996,https://myanimelist.net/anime/season/1996/fall
Winter 1995,https://myanimelist.net/anime/season/1995/winter
Spring 1995,https://myanimelist.net/anime/season/1995/spring
Summer 1995,https://myanimelist.net/anime/season/1995/summer
Fall 1995,https://myanimelist.net/anime/season/1995/fall
Winter 1994,https://myanimelist.net/anime/season/1994/winter
Spring 1994,https://myanimelist.net/anime/season/1994/spring
Summer 1994,https://myanimelist.net/anime/season/1994/summer
Fall 1994,https://myanimelist.net/anime/season/1994/fall
Winter 1993,https://myanimelist.net/anime/season/1993/winter
Spring 1993,https://myanimelist.net/anime/season/1993/spring
Summer 1993,https://myanimelist.net/anime/season/1993/summer
Fall 1993,https://myanimelist.net/anime/season/1993/fall
Winter 1992,https://myanimelist.net/anime/season/1992/winter
Spring 1992,https://myanimelist.net/anime/season/1992/spring
Summer 1992,https://myanimelist.net/anime/season/1992/summer
Fall 1992,https://myanimelist.net/anime/season/1992/fall
Winter 1991,https://myanimelist.net/anime/season/1991/winter
Spring 1991,https://myanimelist.net/anime/season/1991/spring
Summer 1991,https://myanimelist.net/anime/season/1991/summer
Fall 1991,https://myanimelist.net/anime/season/1991/fall
Winter 1990,https://myanimelist.net/anime/season/1990/winter
Spring 1990,https://myanimelist.net/anime/season/1990/spring
Summer 1990,https://myanimelist.net/anime/season/1990/summer
Fall 1990,https://myanimelist.net/anime/season/1990/fall
Winter 1989,https://myanimelist.net/anime/season/1989/winter
Spring 1989,https://myanimelist.net/anime/season/1989/spring
Summer 1989,https://myanimelist.net/anime/season/1989/summer
Fall 1989,https://myanimelist.net/anime/season/1989/fall
Winter 1988,https://myanimelist.net/anime/season/1988/winter
Spring 1988,https://myanimelist.net/anime/season/1988/spring
Summer 1988,https://myanimelist.net/anime/season/1988/summer
Fall 1988,https://myanimelist.net/anime/season/1988/fall
Winter 1987,https://myanimelist.net/anime/season/1987/winter
Spring 1987,https://myanimelist.net/anime/season/1987/spring
Summer 1987,https://myanimelist.net/anime/season/1987/summer
Fall 1987,https://myanimelist.net/anime/season/1987/fall
Winter 1986,https://myanimelist.net/anime/season/1986/winter
Spring 1986,https://myanimelist.net/anime/season/1986/spring
Summer 1986,https://myanimelist.net/anime/season/1986/summer
Fall 1986,https://myanimelist.net/anime/season/1986/fall
Winter 1985,https://myanimelist.net/anime/season/1985/winter
Spring 1985,https://myanimelist.net/anime/season/1985/spring
Summer 1985,https://myanimelist.net/anime/season/1985/summer
Fall 1985,https://myanimelist.net/anime/season/1985/fall
Winter 1984,https://myanimelist.net/anime/season/1984/winter
Spring 1984,https://myanimelist.net/anime/season/1984/spring
Summer 1984,https://myanimelist.net/anime/season/1984/summer
Fall 1984,https://myanimelist.net/anime/season/1984/fall
Winter 1983,https://myanimelist.net/anime/season/1983/winter
Spring 1983,https://myanimelist.net/anime/season/1983/spring
Summer 1983,https://myanimelist.net/anime/season/1983/summer
Fall 1983,https://myanimelist.net/anime/season/1983/fall
Winter 1982,https://myanimelist.net/anime/season/1982/winter
Spring 1982,https://myanimelist.net/anime/season/1982/spring
Summer 1982,https://myanimelist.net/anime/season/1982/summer
Fall 1982,https://myanimelist.net/anime/season/1982/fall
Winter 1981,https://myanimelist.net/anime/season/1981/winter
Spring 1981,https://myanimelist.net/anime/season/1981/spring
Summer 1981,https://myanimelist.net/anime/season/1981/summer
Fall 1981,https://myanimelist.net/anime/season/1981/fall
Winter 1980,https://myanimelist.net/anime/season/1980/winter
Spring 1980,https://myanimelist.net/anime/season/1980/spring
Summer 1980,https://myanimelist.net/anime/season/1980/summer
Fall 1980,https://myanimelist.net/anime/season/1980/fall
Winter 1979,https://myanimelist.net/anime/season/1979/winter
Spring 1979,https://myanimelist.net/anime/season/1979/spring
Summer 1979,https://myanimelist.net/anime/season/1979/summer
Fall 1979,https://myanimelist.net/anime/season/1979/fall
Winter 1978,https://myanimelist.net/anime/season/1978/winter
Spring 1978,https://myanimelist.net/anime/season/1978/spring
Summer 1978,https://myanimelist.net/anime/season/1978/summer
Fall 1978,https://myanimelist.net/anime/season/1978/fall
Winter 1977,https://myanimelist.net/anime/season/1977/winter
Spring 1977,https://myanimelist.net/anime/season/1977/spring
Summer 1977,https://myanimelist.net/anime/season/1977/summer
Fall 1977,https://myanimelist.net/anime/season/1977/fall
Winter 1976,https://myanimelist.net/anime/season/1976/winter
Spring 1976,https://myanimelist.net/anime/season/1976/spring
Summer 1976,https://myanimelist.net/anime/season/1976/summer
Fall 1976,https://myanimelist.net/anime/season/1976/fall
Winter 1975,https://myanimelist.net/anime/season/1975/winter
Spring 1975,https://myanimelist.net/anime/season/1975/spring
Summer 1975,https://myanimelist.net/anime/season/1975/summer
Fall 1975,https://myanimelist.net/anime/season/1975/fall
Winter 1974,https://myanimelist.net/anime/season/1974/winter
Spring 1974,https://myanimelist.net/anime/season/1974/spring
Summer 1974,https://myanimelist.net/anime/season/1974/summer
Fall 1974,https://myanimelist.net/anime/season/1974/fall
Winter 1973,https://myanimelist.net/anime/season/1973/winter
Spring 1973,https://myanimelist.net/anime/season/1973/spring
Summer 1973,https://myanimelist.net/anime/season/1973/summer
Fall 1973,https://myanimelist.net/anime/season/1973/fall
Winter 1972,https://myanimelist.net/anime/season/1972/winter
Spring 1972,https://myanimelist.net/anime/season/1972/spring
Summer 1972,https://myanimelist.net/anime/season/1972/summer
Fall 1972,https://myanimelist.net/anime/season/1972/fall
Winter 1971,https://myanimelist.net/anime/season/1971/winter
Spring 1971,https://myanimelist.net/anime/season/1971/spring
Summer 1971,https://myanimelist.net/anime/season/1971/summer
Fall 1971,https://myanimelist.net/anime/season/1971/fall
Winter 1970,https://myanimelist.net/anime/season/1970/winter
Spring 1970,https://myanimelist.net/anime/season/1970/spring
Summer 1970,https://myanimelist.net/anime/season/1970/summer
Fall 1970,https://myanimelist.net/anime/season/1970/fall
Winter 1969,https://myanimelist.net/anime/season/1969/winter
Spring 1969,https://myanimelist.net/anime/season/1969/spring
Summer 1969,https://myanimelist.net/anime/season/1969/summer
Fall 1969,https://myanimelist.net/anime/season/1969/fall
Winter 1968,https://myanimelist.net/anime/season/1968/winter
Spring 1968,https://myanimelist.net/anime/season/1968/spring
Summer 1968,https://myanimelist.net/anime/season/1968/summer
Fall 1968,https://myanimelist.net/anime/season/1968/fall
Winter 1967,https://myanimelist.net/anime/season/1967/winter
