season,title,url
Schedule,Nohara Hiroshi: Hiru Meshi no Ryuugi,https://myanimelist.net/anime/61184/Nohara_Hiroshi__Hiru_Meshi_no_Ryuugi
Schedule,Hyakushou Kizoku 3rd Season,https://myanimelist.net/anime/60551/Hyakushou_Kizoku_3rd_Season
Schedule,Nmeneko,https://myanimelist.net/anime/60947/Nmeneko
Schedule,Sumikko Gurashi: Koko ga Ochitsukun desu,https://myanimelist.net/anime/61300/Sumikko_Gurashi__Koko_ga_Ochitsukun_desu
Schedule,Anila to Cocora,https://myanimelist.net/anime/62643/Anila_to_Cocora
Schedule,Minimini Minini,https://myanimelist.net/anime/60677/Minimini_Minini
Schedule,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan
Schedule,Spy x Family Season 3,https://myanimelist.net/anime/59027/Spy_x_Family_Season_3
Schedule,Boku no Hero Academia: Final Season,https://myanimelist.net/anime/60098/Boku_no_Hero_Academia__Final_Season
Schedule,Fumetsu no Anata e Season 3,https://myanimelist.net/anime/54703/Fumetsu_no_Anata_e_Season_3
Schedule,Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,https://myanimelist.net/anime/59846/Saigo_ni_Hitotsu_dake_Onegai_shitemo_Yoroshii_deshou_ka
Schedule,Sanda,https://myanimelist.net/anime/59267/Sanda
Schedule,Watari-kun no xx ga Houkai Sunzen,https://myanimelist.net/anime/56693/Watari-kun_no_xx_ga_Houkai_Sunzen
Schedule,Yasei no Last Boss ga Arawareta!,https://myanimelist.net/anime/59644/Yasei_no_Last_Boss_ga_Arawareta
Schedule,"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu",https://myanimelist.net/anime/61276/Mikata_ga_Yowasugite_Hojo_Mahou_ni_Tesshiteita_Kyuutei_Mahoushi_Tsuihou_sarete_Saikyou_wo_Mezasu
Schedule,Kekkon Yubiwa Monogatari II,https://myanimelist.net/anime/58515/Kekkon_Yubiwa_Monogatari_II
Schedule,Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun,https://myanimelist.net/anime/61209/Kao_ni_Denai_Kashiwada-san_to_Kao_ni_Deru_Oota-kun
Schedule,Shuumatsu Touring,https://myanimelist.net/anime/61072/Shuumatsu_Touring
Schedule,Bonobono (TV 2016),https://myanimelist.net/anime/32353/Bonobono_TV_2016
Schedule,Ninjala (TV),https://myanimelist.net/anime/50418/Ninjala_TV
Schedule,Kaijuu Sekai Seifuku (TV),https://myanimelist.net/anime/60070/Kaijuu_Sekai_Seifuku_TV
Schedule,Shimajirou no Wow!,https://myanimelist.net/anime/18941/Shimajirou_no_Wow
Schedule,Kagaku x Bouken Survival! 2nd Season,https://myanimelist.net/anime/60983/Kagaku_x_Bouken_Survival_2nd_Season
Schedule,Oshiri Tantei 9th Season,https://myanimelist.net/anime/58631/Oshiri_Tantei_9th_Season
Schedule,Shibuya♡Hachi Part 4,https://myanimelist.net/anime/61922/Shibuya♡Hachi_Part_4
Schedule,Punirunes: Puni 3,https://myanimelist.net/anime/61290/Punirunes__Puni_3
Schedule,Jochum Season 2,https://myanimelist.net/anime/62231/Jochum_Season_2
Schedule,Gakkou de wa Oshiete Kurenai Taisetsu na Koto,https://myanimelist.net/anime/61731/Gakkou_de_wa_Oshiete_Kurenai_Taisetsu_na_Koto
Schedule,One Piece,https://myanimelist.net/anime/21/One_Piece
Schedule,One Punch Man 3,https://myanimelist.net/anime/52807/One_Punch_Man_3
Schedule,Gachiakuta,https://myanimelist.net/anime/59062/Gachiakuta
Schedule,Tomodachi no Imouto ga Ore ni dake Uzai,https://myanimelist.net/anime/47158/Tomodachi_no_Imouto_ga_Ore_ni_dake_Uzai
Schedule,Ranma ½ (2024) 2nd Season,https://myanimelist.net/anime/60564/Ranma_½_2024_2nd_Season
Schedule,"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.",https://myanimelist.net/anime/57888/Chichi_wa_Eiyuu_Haha_wa_Seirei_Musume_no_Watashi_wa_Tenseisha
Schedule,Toujima Tanzaburou wa Kamen Rider ni Naritai,https://myanimelist.net/anime/61159/Toujima_Tanzaburou_wa_Kamen_Rider_ni_Naritai
Schedule,Uma Musume: Cinderella Gray Part 2,https://myanimelist.net/anime/61930/Uma_Musume__Cinderella_Gray_Part_2
Schedule,Kikaijikake no Marie,https://myanimelist.net/anime/59484/Kikaijikake_no_Marie
Schedule,Chanto Suenai Kyuuketsuki-chan,https://myanimelist.net/anime/60933/Chanto_Suenai_Kyuuketsuki-chan
Schedule,Gnosia,https://myanimelist.net/anime/60427/Gnosia
Schedule,Kingdom 6th Season,https://myanimelist.net/anime/61517/Kingdom_6th_Season
Schedule,Digimon Beatbreak,https://myanimelist.net/anime/61269/Digimon_Beatbreak
Schedule,Alma-chan wa Kazoku ni Naritai,https://myanimelist.net/anime/60781/Alma-chan_wa_Kazoku_ni_Naritai
Schedule,Ao no Orchestra Season 2,https://myanimelist.net/anime/56877/Ao_no_Orchestra_Season_2
Schedule,Sazae-san,https://myanimelist.net/anime/2406/Sazae-san
Schedule,Chibi Maruko-chan (1995),https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
Schedule,Princession Orchestra,https://myanimelist.net/anime/59078/Princession_Orchestra
Schedule,SI-VIS: The Sound of Heroes,https://myanimelist.net/anime/62126/SI-VIS__The_Sound_of_Heroes
Schedule,Kimi to Idol Precure♪,https://myanimelist.net/anime/60407/Kimi_to_Idol_Precure♪
Schedule,Koupen-chan,https://myanimelist.net/anime/60534/Koupen-chan
Schedule,Himitsu no AiPri: Ring-hen,https://myanimelist.net/anime/61092/Himitsu_no_AiPri__Ring-hen
Schedule,Manul no Yuube,https://myanimelist.net/anime/38776/Manul_no_Yuube
Schedule,Sai-Kyo-Oh! Zukan: The Ultimate Tournament,https://myanimelist.net/anime/60596/Sai-Kyo-Oh_Zukan__The_Ultimate_Tournament
Schedule,Tomica to Tom (TV),https://myanimelist.net/anime/62083/Tomica_to_Tom_TV
Schedule,Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou
Schedule,Ojarumaru,https://myanimelist.net/anime/4459/Ojarumaru
Schedule,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka
Schedule,Shiawase Haitatsu Taneko,https://myanimelist.net/anime/10506/Shiawase_Haitatsu_Taneko
Schedule,Hanakappa,https://myanimelist.net/anime/8336/Hanakappa
Schedule,Yowamushi Monsters,https://myanimelist.net/anime/30119/Yowamushi_Monsters
Schedule,Gohan Kaijuu Pap,https://myanimelist.net/anime/22669/Gohan_Kaijuu_Pap
Schedule,Shuwawan!,https://myanimelist.net/anime/57357/Shuwawan
Schedule,Pakkororin,https://myanimelist.net/anime/38099/Pakkororin
Schedule,Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,https://myanimelist.net/anime/54667/Mukashibanashi_no_Oheya__Tsutaetai_Nihon_Mukashibanashi
Schedule,Shikaru Neko,https://myanimelist.net/anime/48442/Shikaru_Neko
Schedule,Tom to Jerry Gokko,https://myanimelist.net/anime/53907/Tom_to_Jerry_Gokko
Schedule,Youkoso Ninchishou Sekai e,https://myanimelist.net/anime/58604/Youkoso_Ninchishou_Sekai_e
Schedule,Warau Red List,https://myanimelist.net/anime/59752/Warau_Red_List
Schedule,I Love Me 2nd Season,https://myanimelist.net/anime/53408/I_Love_Me_2nd_Season
Schedule,Papan Ga Panda!,https://myanimelist.net/anime/35962/Papan_Ga_Panda
Schedule,Dotoli Munhwasenteo,https://myanimelist.net/anime/61778/Dotoli_Munhwasenteo
Schedule,Neko Konogoro: Tenka Toitsu-hen,https://myanimelist.net/anime/61914/Neko_Konogoro__Tenka_Toitsu-hen
Schedule,Anmari Yakunitatanai Nihonshi,https://myanimelist.net/anime/62047/Anmari_Yakunitatanai_Nihonshi
Schedule,Bugchon 5-lagil Ssangdungine,https://myanimelist.net/anime/62447/Bugchon_5-lagil_Ssangdungine
